Degree,Age,CS180_Grade,GPA,Credit_Hours,Months_Until_Employment
First Year Engineering,24,91.0,,9.0,11.0
chemistry,22,1.0,3.06,15.0,12.0
Biochemistry,22,97.0,2.92,12.0,12.0
data science,23,49.0,2.69,3.0,1.0
Electrical Engineering,27,31.0,3.45,3.0,
Biology,26,,2.69,15.0,14.0
data science,27,21.0,2.95,3.0,5.0
computer science,,,3.85,12.0,2.0
chemistry,22,91.0,3.71,18.0,0.0
Data Science,26,25.0,2.51,15.0,1.0
applied mathematics,27,22.0,3.12,12.0,4.0
applied mathematics,25,,2.87,9.0,17.0
Electrical Engineering,22,49.0,2.86,3.0,13.0
Biology,26,47.0,,15.0,12.0
Core Mathematics,25,86.0,3.08,9.0,2.0
applied mathematics,22,7.0,3.42,9.0,6.0
computer science,,19.0,3.14,6.0,15.0
chemistry,26,69.0,3.96,3.0,3.0
Pre-Medical,26,11.0,3.15,15.0,16.0
Mechanical Engineering,23,,2.59,9.0,0.0
chemistry,27,98.0,3.78,6.0,9.0
Data Science,23,56.0,3.55,12.0,12.0
data science,22,23.0,3.58,12.0,12.0
Computer Science,25,56.0,,,11.0
Computer and Information Technology,24,66.0,2.87,12.0,15.0
Mechanical Engineering,24,37.0,3.6,9.0,2.0
Mathematics/Computer Science,22,68.0,3.65,15.0,4.0
Physics,24,25.0,3.43,9.0,1.0
Mathematics/Computer Science,26,,3.2,9.0,1.0
Data Science,27,72.0,2.83,9.0,12.0
Mechanical Engineering,23,61.0,3.44,3.0,16.0
Electrical Engineering,25,91.0,3.55,,
Electrical Engineering,27,93.0,2.51,6.0,16.0
Computer and Information Technology,26,78.0,3.72,12.0,10.0
Biochemistry,26,93.0,3.14,,9.0
Biochemistry,26,26.0,3.59,3.0,9.0
Applied Statistics,22,64.0,,12.0,10.0
Core Mathematics,22,74.0,,15.0,9.0
chemistry,24,66.0,3.99,15.0,0.0
data science,26,68.0,2.84,,4.0
data science,27,75.0,2.81,3.0,11.0
Computer Science,23,74.0,3.32,3.0,1.0
applied mathematics,,85.0,2.6,18.0,3.0
Electrical Engineering,23,28.0,3.03,12.0,16.0
Biology,22,76.0,3.2,12.0,11.0
Data Science,26,20.0,3.63,15.0,1.0
Biology,27,48.0,3.02,3.0,
Biochemistry,23,60.0,3.74,12.0,6.0
Mechanical Engineering,27,27.0,2.55,3.0,12.0
Mathematics/Computer Science,23,81.0,3.87,12.0,17.0
applied mathematics,24,49.0,2.89,12.0,7.0
data science,25,55.0,2.84,6.0,15.0
Data Science,23,98.0,2.9,3.0,7.0
